bhk,price,total_sqft,location,price_per_sqft
1.0,25.0,670.0,"Jagatap Nagar, Cidco, Nashik, Maharashtra",373.13432835820896
2.0,100.0,2470.0,"S T Colony, Gangapur Road, Nashik, Maharashtra",404.8582995951417
2.0,50.0,980.0,"Jejurkar Wadi, Sharanpur, Nashik, Maharashtra",510.2040816326531
1.0,22.0,750.0,"Vijaynagar, Deola, Nashik, Maharashtra",293.3333333333333
1.0,16.0,600.0,"Rajpal Colony, Panchavati, Nashik, Maharashtra",266.6666666666667
1.0,11.0,420.0,"Madsangavi, Nashik, Maharashtra",261.9047619047619
2.0,42.0,950.0,Nakshtra,442.10526315789474
1.0,25.0,660.0,"Nashik Road, Nashik, Maharashtra",378.7878787878788
1.0,28.0,650.0,"Dsouza Colony, College Road, Nashik, Maharashtra",430.7692307692308
1.0,25.0,650.0,Shree Uma Ashish Apartment,384.61538461538464
1.0,28.35,630.0,Hari Sanskruti Phase LL,450.0
3.0,40.5,1190.0,Shree Gajanan,340.33613445378154
2.0,45.0,1040.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",432.6923076923077
1.0,23.0,672.0,"Gurudatta Nagar, Dasak, Nashik, Maharashtra",342.26190476190476
2.0,32.0,905.0,"Jail Road, Nashik Road, Nashik, Maharashtra, 422101",353.5911602209945
2.0,83.0,955.0,"Mahatmanagar, Parijat Nagar, Nashik, Maharashtra",869.109947643979
2.0,35.0,895.0,"Nashik, Maharashtra",391.06145251396646
2.0,36.5,800.0,Lavkush Apartment,456.25
2.0,42.0,1060.0,"Nashik Road, Nashik, Maharashtra",396.22641509433964
2.0,39.0,751.0,"Arcit Vihar Wing B Road, Gangapur Road, Nashik, Maharashtra, 422005",519.3075898801598
2.0,34.0,800.0,"Nashik Road, Vadner Dumala, Nashik, Maharashtra, 422401",425.0
1.0,25.0,700.0,Shiv Darshan Apartment,357.14285714285717
